SegmentPair,OverlapRatio,NumCorrespondences
"(6, 3) with (7, 2)",0.10773773227638885,3357
"(0, 8) with (3, 9)",0.10640476633773971,1143
"(4, 1) with (9, 6)",0.10539825626925152,12113
"(4, 2) with (6, 6)",0.10406163797203462,7658
"(4, 2) with (9, 4)",0.1035180932450979,7618
"(4, 7) with (7, 6)",0.10341545352743561,1847
"(5, 9) with (9, 7)",0.1031590547324599,1685
"(2, 8) with (4, 9)",0.10055410691003912,617
"(3, 7) with (8, 5)",0.10035659704533877,985
"(2, 9) with (5, 1)",0.0999009247027741,605
"(0, 3) with (3, 7)",0.09890933311131463,2376
"(0, 2) with (4, 9)",0.09879293583927413,2439
"(0, 3) with (2, 9)",0.09745233535925402,2341
"(1, 2) with (4, 2)",0.09610799856955538,6450
"(1, 2) with (4, 1)",0.09585469066634879,6433
"(0, 2) with (3, 7)",0.09389176928062216,2318
"(2, 8) with (6, 7)",0.08963494132985658,550
"(1, 8) with (7, 8)",0.08829375457683858,1688
"(1, 3) with (4, 6)",0.08405862798428529,5563
"(2, 7) with (9, 2)",0.08387300584425841,531
"(0, 5) with (9, 9)",0.08370867680802244,985
"(2, 9) with (9, 1)",0.07777410832232497,471
"(1, 3) with (9, 6)",0.07508310667875491,4969
"(5, 6) with (9, 7)",0.0741267442893965,1668
"(3, 7) with (6, 3)",0.0738665308201732,725
"(1, 7) with (5, 9)",0.07101216433325683,1547
"(6, 1) with (9, 2)",0.0704592086488288,6765
"(6, 6) with (9, 7)",0.07023749368367863,834
"(1, 7) with (5, 6)",0.07014000459031444,1528
"(5, 1) with (9, 6)",0.06972761640117613,8632
"(4, 9) with (8, 7)",0.06970649895178196,532
"(3, 3) with (5, 9)",0.0672694188559081,1183
"(4, 1) with (6, 6)",0.06663418199537094,7658
"(0, 2) with (9, 9)",0.06630751782242385,1637
"(4, 1) with (9, 4)",0.0662861319457738,7618
"(1, 7) with (4, 1)",0.06564149644250632,1430
"(3, 7) with (4, 4)",0.06551197147223638,643
"(1, 7) with (5, 1)",0.06545788386504475,1426
"(1, 7) with (4, 2)",0.06513656185448703,1419
"(6, 6) with (8, 2)",0.0640896075458986,761
"(4, 1) with (7, 2)",0.06408471538207194,7365
